,cond_name,exp_name,cell_id,area_mean,area_sd,change_ratio_mean,change_ratio_sd
164,bum_5d,M6_5d-post-injury_evening_18-05-20,4,906.3333333333334,107.21966030330238,0.6175298554737477,0.0736951743814817
165,bum_5d,M6_5d-post-injury_evening_18-05-20,5,876.3333333333334,67.26729434791389,0.5789759349584315,0.08654951244287762
166,bum_5d,M6_5d-post-injury_evening_18-05-20,6,927.3333333333334,116.21053690990712,0.5516116642767748,0.09090948465008136
167,bum_5d,M6_5d-post-injury_evening_18-05-20,7,809.6666666666666,42.730421117617,0.5532299546508935,0.10076681153408865
168,bum_5d,M6_5d-post-injury_evening_18-05-20,8,842.9166666666666,96.61992404376139,0.6630988880548204,0.08431521539874086
169,bum_5d,M6_5d-post-injury_evening_18-05-20,9,684.5833333333334,84.0956383464023,0.6321994439116432,0.061435799299212765
170,bum_5d,M6_5d-post-injury_evening_18-05-20,10,956.25,107.31583061226335,0.7354120424344466,0.054057415146042946
171,bum_5d,M6_5d-post-injury_evening_18-05-20,11,845.75,144.02148277253642,0.5442933122942651,0.08438500773579022
172,bum_5d,M6_5d-post-injury_evening_18-05-20,12,1005.0,83.09833532227546,0.5387782882797992,0.059916528689315164
173,bum_5d,M6_5d-post-injury_evening_18-05-20,13,959.5,119.65262220277498,0.6632000554036741,0.14792376572647933
174,bum_5d,M6_5d-post-injury_evening_18-05-20,14,862.5833333333334,102.32420561898127,0.6284305822920679,0.07605751708120957
175,bum_5d,M6_5d-post-injury_evening_18-05-20,15,814.8333333333334,97.37627477414038,0.6288923060293982,0.090884702490391
176,bum_5d,M6_5d-post-injury_evening_18-05-20,16,932.8333333333334,99.30662392587695,0.5622680811935049,0.05743031485674316
177,bum_5d,M6_5d-post-injury_evening_18-05-20,17,819.25,76.56383502237419,0.7234537890726869,0.04983976386133492
178,bum_5d,M6_5d-post-injury_evening_18-05-20,18,860.1666666666666,62.416388517404265,0.5786109349224625,0.05363232582906746
179,bum_5d,M6_5d-post-injury_evening_18-05-20,19,1032.9166666666667,89.66089665449978,0.6105253208852135,0.07415662323050508
